height_block,N,n_win,mean_C_N,CI95_low,CI95_high,std_dev
low,5,16666,0.8030512141549246,0.8019283723947289,0.8041740559151204,0.07395681057560917
middle,5,16666,0.802652435249936,0.8015260305280383,0.8037788399718337,0.07419148770735066
high,5,16666,0.8023301551388229,0.8012025938310222,0.8034577164466236,0.07426766710107494
low,10,6666,0.9005530675091219,0.8996468209970896,0.9014593140211542,0.03775051940143801
middle,10,6666,0.9003228373018208,0.8994078970154076,0.9012377775882341,0.03811266644871431
high,10,6666,0.9001040500470814,0.8991802024645826,0.9010278976295801,0.03848370793602296
low,20,3332,0.9497276398729216,0.9490771769697613,0.9503781027760819,0.01915662325196834
middle,20,3332,0.9498224256152349,0.9491751866190226,0.9504696646114472,0.019061676760015998
high,20,3334,0.9496911691193448,0.9490265930675887,0.9503557451711009,0.019578139274301028
low,50,1332,0.9798055371104784,0.9793768382614016,0.9802342359595551,0.007982673354936354
middle,50,1332,0.980094100337874,0.9796657887454341,0.980522411930314,0.007975462364651562
high,50,1334,0.9799997156057103,0.9795644463782937,0.980434984833127,0.008111100975824135
low,100,666,0.9899286464757766,0.9896343878179477,0.9902229051336056,0.0038744520723799653
middle,100,666,0.9898585176350424,0.9895608178513418,0.990156217418743,0.003919760772430114
high,100,666,0.989798425341523,0.9894838497346288,0.9901130009484171,0.004141961772828539
